id,categoryCodeFrom,categoryCodeTo,fromOrg,toOrg,orgLevel,canClose,isActive,dependentOn
1,2130,2135,DSEHE,DEPHE,1,Y,Y,
2,2130,2135,DEPHE,RN516,2,Y,Y,
3,2130,2135,RN516,NTAJE,3,Y,N,
4,2136,2160,DSEHE,DEPHE,1,Y,Y,IIT
5,2136,2160,DEPHE,RN516,2,Y,Y,IIT
6,2136,2160,DSEHE,DEPHE,1,Y,Y,IIIT
7,2136,2160,DEPHE,RN516,2,Y,Y,IIIT
8,2136,2160,DSEHE,JSMGT,1,Y,Y,IIM
9,2136,2160,JSMGT,USMGT,2,Y,Y,IIM
10,2136,2160,DSEHE,JSIIS,1,Y,Y,IISC
11,2136,2160,JSIIS,DDEAD,2,Y,Y,IISC
12,2136,2160,DSEHE,JSIIS,1,Y,Y,IISER
13,2136,2160,JSIIS,DDEAD,2,Y,Y,IISER
14,2136,2160,DSEHE,STATI,1,Y,Y,IGNOU
15,2136,2160,STATI,AEADL,2,Y,Y,IGNOU
16,2136,2160,DSEHE,ASTEL,1,Y,Y,NITTTR
17,2136,2160,ASTEL,DSTEC,2,Y,Y,NITTTR
18,2136,2160,DSEHE,STATI,1,Y,Y,NIT
19,2136,2160,STATI,NIT32,2,Y,Y,NIT
20,2136,2160,DSEHE,JSIIS,1,Y,Y,CU
21,2136,2160,JSIIS,CUBKS,2,Y,Y,CU
22,2136,2160,DSEHE,JSMGT,1,Y,Y,CIIL
23,2136,2160,JSMGT,DSLHE,2,Y,Y,CIIL
24,2136,2160,DSEHE,ASHEU,1,Y,Y,SU
25,2136,2160,DSEHE,ASHEU,1,Y,Y,PU
28,2118,2118,DSEHE,STATI,1,Y,Y,
29,2118,2118,STATI,AEADL,2,Y,Y,
30,2136,2160,DSEHE,DEPHE,1,Y,Y,AICTE
31,2136,2160,DEPHE,RN205,2,Y,Y,AICTE
32,2136,2160,DSEHE,DEPHE,1,Y,Y,NBA
33,2136,2160,DEPHE,RN205,2,Y,Y,NBA
34,2136,2160,DSEHE,ASHEU,1,Y,Y,UGC
35,2136,2160,ASHEU,DRUGC,2,Y,Y,UGC
36,2161,2165,DSEHE,ASHEU,1,Y,Y,
37,2166,2171,DSEHE,DEPHE,1,Y,Y,IIT
38,2166,2171,DEPHE,RN516,2,Y,Y,IIT
39,2166,2171,DSEHE,DEPHE,1,Y,Y,IIIT
40,2166,2171,DEPHE,RN516,2,Y,Y,IIIT
41,2166,2171,DSEHE,JSMGT,1,Y,Y,IIM
42,2166,2171,JSMGT,USMGT,2,Y,Y,IIM
43,2166,2171,DSEHE,JSIIS,1,Y,Y,IISC
44,2166,2171,JSIIS,DDEAD,2,Y,Y,IISC
45,2166,2171,DSEHE,JSIIS,1,Y,Y,IISER
46,2166,2171,JSIIS,DDEAD,2,Y,Y,IISER
47,2166,2171,DSEHE,STATI,1,Y,Y,IGNOU
48,2166,2171,STATI,AEADL,2,Y,Y,IGNOU
49,2166,2171,DSEHE,ASTEL,1,Y,Y,ADMIN
50,2166,2171,ASTEL,DSTEL,2,Y,Y,ADMIN
51,2166,2171,DSEHE,STATI,1,Y,Y,NIT
52,2166,2171,STATI,NIT32,2,Y,Y,NIT
53,2166,2171,DSEHE,JSIIS,1,Y,Y,CU
54,2166,2171,JSIIS,CUBKS,2,Y,Y,CU
55,2166,2171,DSEHE,JSMGT,1,Y,Y,CIIL
56,2166,2171,JSMGT,DSLHE,2,Y,Y,CIIL
57,2166,2171,DSEHE,ASHEU,1,Y,Y,SU
58,2166,2171,DSEHE,ASHEU,1,Y,Y,PU
59,2166,2171,DSEHE,DEPHE,1,Y,Y,AICTE
60,2166,2171,DEPHE,RN205,2,Y,Y,AICTE
61,2166,2171,DSEHE,DEPHE,1,Y,Y,NBA
62,2166,2171,DEPHE,RN205,2,Y,Y,NBA
63,2166,2171,DSEHE,ASHEU,1,Y,Y,UGC
64,2166,2171,ASHEU,DRUGC,2,Y,Y,UGC
65,2172,2172,DSEHE,ASHEU,1,Y,Y,
66,2124,2126,DSEHE,ASHEU,1,Y,Y,
67,2127,2127,DSEHE,JSMGT,1,Y,Y,
71,2127,2127,JSMGT,DSLHE,2,Y,Y,
72,2129,2129,DSEHE,JSICC,1,Y,Y,
73,2179,2212,MOLBR,PESIC,1,Y,Y,
75,2214,2216,MOLBR,PESIC,1,Y,Y,
76,2239,2342,MOLBR,CLC01,1,Y,Y,
77,2486,2487,DOURD,DDAVC,1,Y,Y,
78,2486,2487,DDAVC,DDACP,2,Y,Y,
79,2486,2487,DDACP,DIRP1,3,Y,Y,
80,2488,2488,DOURD,DDAVC,1,Y,Y,
81,2488,2488,DDAVC,DDACP,2,Y,Y,
82,2488,2488,DDACP,DIRP2,3,Y,Y,
83,2493,2493,DOURD,DDAVC,1,Y,Y,
84,2493,2493,DDAVC,DDACP,2,Y,Y,
85,2488,2488,DDACP,DIRP2,3,Y,Y,
86,2496,2497,DOURD,DDAVC,1,Y,Y,
87,2496,2497,DDAVC,DDACP,2,Y,Y,
88,2496,2497,DDACP,DIRP1,3,Y,Y,
89,2498,2501,DOURD,DDAVC,1,Y,Y,
90,2498,2501,DDAVC,DDACP,2,Y,Y,
91,2498,2501,DDACP,DIRP1,3,Y,Y,
92,2528,2533,DOURD,DDAVC,1,Y,Y,
93,2544,2560,DOURD,DDAVC,1,Y,Y,
94,2544,2560,DDAVC,CVO01,2,Y,Y,
95,2690,2690,DOPAT,STAFF,1,Y,Y,
96,2708,2758,DOPAT,STAFF,1,Y,Y,
97,2695,2695,DOPAT,STAFF,1,Y,Y,
98,2702,2703,DOPAT,STAFF,1,Y,Y,
99,2762,2767,DOPAT,STAFF,1,Y,Y,
100,2816,2994,DOURD,DDEST,1,Y,Y,
10100,3000,3021,DOURD,CCAUD,1,Y,Y,
10101,3025,3027,DOURD,TNCPO,1,Y,Y,
10102,3033,3053,DOURD,NCRPB,1,Y,Y,
10103,3055,3060,DOURD,HPLMH,1,Y,Y,
10104,3066,3071,DOURD,HUDCO,1,Y,Y,
10105,3076,3086,DOURD,NBOMH,1,Y,Y,
10106,3089,3094,DOURD,NCHFI,1,Y,Y,
10107,3098,3107,DOURD,CGEWH,1,Y,Y,
10108,3113,3124,DOURD,NCRTC,1,Y,Y,
10109,3128,3135,DOURD,DUACO,1,Y,Y,
10110,3136,3141,DOURD,DDAVC,1,Y,Y,
10111,3136,3141,DDAVC,DDALM,2,Y,Y,
10112,3136,3141,DDALM,DRUC1,3,Y,Y,
10113,3142,3143,DOURD,DDAVC,1,Y,Y,
10114,3142,3143,DDAVC,DDALM,2,Y,Y,
10115,3142,3143,DDALM,DRUC2,3,Y,Y,
10116,3147,3157,DOURD,BMTPC,1,Y,Y,
10117,3160,3162,DOURD,RSCUA,1,Y,Y,
10118,3164,3170,DOURD,GOISO,1,Y,Y,
10119,3174,3178,DOURD,NIUAO,1,Y,Y,
10120,3181,3185,DOURD,DOPUB,1,Y,Y,
10121,3195,3210,DOURD,DMRCL,1,Y,Y,
10122,3414,3437,DOURD,DRPTG,1,Y,Y,
10123,3414,3437,DRPTG,PDDA2,2,Y,Y,
10124,3438,3438,DOURD,DRPTG,1,Y,Y,
10125,3438,3438,DRPTG,PDDA1,2,Y,Y,
10126,3439,3439,DOURD,DRPTG,1,Y,Y,
10127,3439,3439,DRPTG,PDDA2,2,Y,Y,
10128,3440,3440,DOURD,DRPTG,1,Y,Y,
10129,3440,3440,DRPTG,PDDA1,2,Y,Y,
10130,3441,3441,DOURD,DRPTG,1,Y,Y,
10131,3441,3441,DRPTG,PDDA2,2,Y,Y,
10132,3442,3442,DOURD,DRPTG,1,Y,Y,
10133,3442,3442,DRPTG,PDDA1,2,Y,Y,
10134,3443,3443,DOURD,DRPTG,1,Y,Y,
10135,3443,3443,DRPTG,PDDA2,2,Y,Y,
10136,3444,3444,DOURD,DRPTG,1,Y,Y,
10137,3444,3444,DRPTG,PDDA1,2,Y,Y,
10138,3445,3445,DOURD,DRPTG,1,Y,Y,
10139,3445,3445,DRPTG,PDDA2,2,Y,Y,
10140,3446,3446,DOURD,DRPTG,1,Y,Y,
10141,3446,3446,DRPTG,PDDA1,2,Y,Y,
10142,3447,3447,DOURD,DRPTG,1,Y,Y,
10143,3447,3447,DRPTG,PDDA2,2,Y,Y,
10144,3448,3448,DOURD,DRPTG,1,Y,Y,
10145,3448,3448,DRPTG,PDDA1,2,Y,Y,
10146,3449,3449,DOURD,DRPTG,1,Y,Y,
10147,3449,3449,DRPTG,PDDA2,2,Y,Y,
10148,3450,3450,DOURD,DRPTG,1,Y,Y,
10149,3450,3450,DRPTG,PDDA1,2,Y,Y,
10150,3451,3451,DOURD,DRPTG,1,Y,Y,
10151,3451,3451,DRPTG,PDDA2,2,Y,Y,
10152,3452,3452,DOURD,DRPTG,1,Y,Y,
10153,3452,3452,DRPTG,PDDA1,2,Y,Y,
10154,3453,3453,DOURD,DRPTG,1,Y,Y,
10155,3453,3453,DRPTG,PDDA2,2,Y,Y,
10156,3454,3454,DOURD,DRPTG,1,Y,Y,
10157,3454,3454,DRPTG,PDDA1,2,Y,Y,
10158,3455,3455,DOURD,DRPTG,1,Y,Y,
10159,3455,3455,DRPTG,PDDA2,2,Y,Y,
10160,3456,3456,DOURD,DRPTG,1,Y,Y,
10161,3456,3456,DRPTG,PDDA1,2,Y,Y,
10162,3457,3457,DOURD,DRPTG,1,Y,Y,
10163,3457,3457,DRPTG,PDDA2,2,Y,Y,
10164,3458,3458,DOURD,DRPTG,1,Y,Y,
10165,3485,3485,DRPTG,PDDA1,2,Y,Y,
10166,3459,3459,DOURD,DRPTG,1,Y,Y,
10167,3459,3459,DRPTG,PDDA2,2,Y,Y,
10168,3460,3460,DOURD,DRPTG,1,Y,Y,
10169,3460,3460,DRPTG,PDDA1,2,Y,Y,
10170,3461,3461,DOURD,DRPTG,1,Y,Y,
10171,3461,3461,DRPTG,PDDA2,2,Y,Y,
10172,3462,3462,DOURD,DRPTG,1,Y,Y,
10173,3462,3462,DRPTG,PDDA1,2,Y,Y,
10174,3463,3463,DOURD,DRPTG,1,Y,Y,
10175,3463,3463,DRPTG,PDDA2,2,Y,Y,
10176,3464,3464,DOURD,DRPTG,1,Y,Y,
10177,3464,3464,DRPTG,PDDA1,2,Y,Y,
10178,3465,3465,DOURD,DRPTG,1,Y,Y,
10179,3465,3465,DRPTG,PDDA2,2,Y,Y,
10180,3466,3466,DOURD,DRPTG,1,Y,Y,
10181,3466,3466,DRPTG,PDDA1,2,Y,Y,
10182,3467,3467,DOURD,DRPTG,1,Y,Y,
10183,3467,3467,DRPTG,PDDA2,2,Y,Y,
10184,3468,3468,DOURD,DRPTG,1,Y,Y,
10185,3468,3468,DRPTG,PDDA1,2,Y,Y,
10186,3469,3469,DOURD,DRPTG,1,Y,Y,
10187,3469,3469,DRPTG,PDDA2,2,Y,Y,
10188,3470,3470,DOURD,DRPTG,1,Y,Y,
10189,3470,3470,DRPTG,PDDA1,2,Y,Y,
10190,3471,3471,DOURD,DRPTG,1,Y,Y,
10191,3471,3471,DRPTG,PDDA2,2,Y,Y,
10192,3472,3472,DOURD,DRPTG,1,Y,Y,
10193,3472,3472,DRPTG,PDDA1,2,Y,Y,
10194,3473,3473,DOURD,DRPTG,1,Y,Y,
10195,3473,3473,DRPTG,PDDA2,2,Y,Y,
10196,3474,3474,DOURD,DRPTG,1,Y,Y,
10197,3474,3474,DRPTG,PDDA1,2,Y,Y,
10198,3475,3475,DOURD,DRPTG,1,Y,Y,
10199,3475,3475,DRPTG,PDDA2,2,Y,Y,
10200,3476,3476,DOURD,DRPTG,1,Y,Y,
10201,3476,3476,DRPTG,PDDA1,2,Y,Y,
10202,3477,3477,DOURD,DRPTG,1,Y,Y,
10203,3477,3477,DRPTG,PDDA2,2,Y,Y,
10204,3478,3478,DOURD,DRPTG,1,Y,Y,
10205,3478,3478,DRPTG,PDDA1,2,Y,Y,
10206,3479,3479,DOURD,DRPTG,1,Y,Y,
10207,3479,3479,DRPTG,PDDA2,2,Y,Y,
10208,3480,3480,DOURD,DRPTG,1,Y,Y,
10209,3480,3480,DRPTG,PDDA1,2,Y,Y,
10210,3481,3481,DOURD,DRPTG,1,Y,Y,
10211,3481,3481,DRPTG,PDDA2,2,Y,Y,
10212,3482,3482,DOURD,DRPTG,1,Y,Y,
10213,3482,3482,DRPTG,PDDA1,2,Y,Y,
10214,3483,3483,DOURD,DRPTG,1,Y,Y,
