S. No,Name of Public Authority,%,Grade
1,"Agricultural Technology Application Research Institute,Zone-II, JODHPUR",100%,A
2,Allahabad Museum,99%,A
3,"Assistant High Commission of India(ACHI), KANDY",94%,A
4,Atomic Energy Regulatory Board(AERB),93%,A
5,"Babasaheb Bhimrao Ambedkar University, Lucknow",91%,A
6,Bank of India,93%,A
7,"Bhakra Beas Management Board (BBMB), Chandigarh",96%,A
8,Bharat Electronical Ltd,92%,A
9,Broadcast Engineering Constulatants India Ltd,90%,A
10,Cabinet Secretariat,96%,A
11,CCBF Suratgarh,100%,A
12,"CCBF, Andeshnagar",98%,A
13,"Central Administrative Tribunal, Ahmedabad Bench",100%,A
14,Central Board of Film Certification,92%,A
15,Central Cattle Breeding Farm,93%,A
16,Central Council for Homoeopathy,91%,A
17,"CENTRAL DRUGS TESTING LABORATORY, chennai",95%,A
18,"Central Frozen Semen Production & Training Institute(CFSP &TI)Hessarghatta",91%,A
19,Central Industrial Security Force,97%,A
20,Central Information Commission,94%,A
21,Central Institute for Cotton Research,95%,A
22,Central Institute of Brackishwater Aquaculture,93%,A
23,Central Plantation Crops Research Institute (CPCRI),97%,A
24,Central Soil & Materials Research Station,100%,A
25,Centre for Nano and Soft Matter Sciences,92%,A
26,CGST & Central Excise Delhi Zone,97%,A
27,"CHANDIGARH SCHEDULED CASTES, BACKWARDGLASSES & MINORITIES, FINANCIAL &DEVELOPMENT CORPORATION LTD",100%,A
28,CHIEF COMMISSIONER OF CUSTOMS (DZ),98%,A
29,"CHRS, Ongole",100%,A
30,Consulate General of India  Edinburgh,90%,A
31,Consulate General of India in Jeddah,100%,A
32,"Consulate General of India, Hamburg",100%,A
33,"Consulate General of India, Jaffna",100%,A
34,"Consulate General of India, sydney",98%,A
35,"Consulate General of India, Osaka-Kobe",100%,A
36,"Consulate of India,Bandar Abbas,Iran",100%,A
37,"DCPW-MHA (Department of Coordination (PoliceWireless))",100%,A
38,Deendayal Port Trust,93%,A
39,"Delhi Co Operative Housing Finance CorporationLimited  (DCHFC Ltd)",93%,A
40,Delhi Metro Rail Corporation,93%,A
41,"DIRECTORATE GENERAL OF COMMERCIALINTELLIGENCE & STATISTICS",96%,A
42,Directorate of Jute Development,90%,A
43,"Directorate of Prosecution, Delhi govt.",92%,A
44,DIRECTORATE OF PULSES DEVELOPMENT,97%,A
45,"Directorate of Prohibition, GNCTD",99%,A
46,Dr. Hedgewar Arogya Sansthan,99%,A
47,DRT 2 Chandigarh,94%,A
48,DRT I Chandigarh,98%,A
49,"Dte. of Economics and Statistics, Govt. of NCT of Delhi",100%,A
50,Economics and statistics UT of Pondicherry,97%,A
51,Embassy of  india Havana,96%,A
52,"Embassy of India, Algiers",96%,A
53,"Embassy of India, Astana",97%,A
54,"Embassy of India, Hanoi",97%,A
55,"Embassy of India, Lisbon",95%,A
56,"Embassy of India, Minsk",95%,A
57,"Embassy of India, Moscow",94%,A
58,"Embassy of India, Paramaribo",100%,A
59,"Embassy of India, Seoul",100%,A
60,"Embassy of India, Vientiane",90%,A
61,"Embassy of India, Zagreb",95%,A
62,ERNET India,91%,A
63,"Fishery Survey of India, Kochi",93%,A
64,"Fishery Survey of India, Mormugao",90%,A
65,Food Corporation Of India,94%,A
66,General Insurance Corporation of India,96%,A
67,"GOVERNMENT MEDICAL STORE DEPOT, MUMBAI",97%,A
68,Heavy Water Plant (Talcher),98%,A
69,Heavy Water Plant (Tuticorin),95%,A
70,Heavy Water Plant(Baroda),95%,A
71,"High Commission of India, Malta",98%,A
72,"High Commission of India, Windhoek",98%,A
73,HIGH COURT OF DELHI,98%,A
74,"Housing and Urban Development Corporation Ltd.(HUDCO)",95%,A
75,ICAR- Indian Institute of Water Management,93%,A
76,"ICAR-Indian Institute of Soil Science, Bhopal",96%,A
77,"ICAR-National Bureau of Agriculturally ImportantMicroorganisms (NBAIM)",93%,A
78,"ICAR-National Research Centre on Pig, Rani, Guwahati",91%,A
79,IHM MUMBAI,91%,A
80,IHM Shimla,90%,A
81,IIM Shillong,95%,A
82,"IIM, Raipur",98%,A
83,IIT Allahabad,96%,A
84,"India Infrastructure Finance Company Limited, NewDelhi",96%,A
85,India Meteorological Department,91%,A
86,Indian Institute of Farming Systems Research (ICAR),100%,A
87,Indian Institute of Foreign Trade (IIFT),100%,A
88,Indian Institute of Management Visakhapatnam,100%,A
89,"Indian Institute of Management, Kolkata",99%,A
90,"Indian Institute of Science Education and Research(IISER) Bhopal",96%,A
91,"Indian Institute of Science Education and Research(IISER), Thiruvananthapuram",93%,A
92,"Indian Institute of Tourism and Travel Management(IITTM) Gwalior",100%,A
93,Indian Institute of Tropical Meteorology,94%,A
94,Indian National Science Academy,100%,A
95,Indian Veterinary Research Institute (IVRI),95%,A
96,"Indira Gandhi Institute of Physical Education andSports Sciences, Govt. of NCT Delhi",91%,A
97,Indira Gandhi Rashtriya Uran Akademi (IGRUA),91%,A
98,"INSTITUTE OF SECRETARIAT TRAINING &MANAGEMENT (ISTM)",94%,A
99,Kasturba Institute of Technology,97%,A
100,Life Insurance Corporation of India,97%,A
101,MIDHANI Limited,96%,A
102,Ministry of Civil Aviation,94%,A
103,Ministry of Food Processing Industry,98%,A
104,Ministry of Road Transport and Highways,93%,A
105,Ministry of Youth Affairs,92%,A
106,"MSME – Development Institute, Hubli",99%,A
107,"MSME Development Institute, Kolkata",99%,A
108,MSME DI Goa,94%,A
109,MSME DI Solan,93%,A
110,"MSME DI, Kanpur",90%,A
111,"MSME Testing Centre, Kolkata",94%,A
112,MSME-DI Mumbai,97%,A
113,Narmada Control Authority,98%,A
114,"National Anti Doping Agency(NADA), M/o Youth Affairs",91%,A
115,"National Company Law Tribunal, Kolkata Bench",97%,A
116,National Cooperative Development Corporation (NCDC),96%,A
117,National Council of Educational Research & Training,100%,A
118,"National Institute for Empowerment of Persons withMultiple Disabilities(NIEPMD)",94%,A
119,National Institute for Social Defence,100%,A
120,"National Institute of Abiotic Stress Management (ICAR)-NIASM",90%,A
121,"National Institute of Animal Nutrition and Physiology(NIANP-ICAR)",98%,A
122,National Institute of Biologicals,93%,A
123,"NATIONAL INSTITUTE OF PLANT GENOMERESEARCH, New Delhi",99%,A
124,"National Institute of Technology, Surthkal",90%,A
125,National Institute of Unani Medicine (NIUM),92%,A
126,"National Law University, Delhi",98%,A
127,"National Research Centre for Integrated PestManagement",95%,A
128,National Research Development Corporation,100%,A
129,National Seeds Corporation Ltd.,99%,A
130,"NIAH,Baghpat",92%,A
131,"NISTADS, New Delhi",93%,A
132,"Office of the Chief Commissioner of Customs, Mumbaizone -I",95%,A
133,"Official Liquidator Ranchi, Ministry of CorporateAffairs",100%,A
134,Oil Industry Development Board (OIDB),93%,A
135,"Permanent Mission of India, Geneva",96%,A
136,Pondicherry University,97%,A
137,"Port Health Organisation, Cochin",93%,A
138,Power System Operation Corporation Ltd,91%,A
139,Prime Minister's Office,93%,A
140,Pt Madan Mohan Malviya Hospital,93%,A
141,PUNJAB & SIND BANK,100%,A
142,Quality Control Cell Bhubaneswar,93%,A
143,Regional Fodder Station Chennai,99%,A
144,Regional Fodder Station Hyderabad,100%,A
145,"Regional Fodder Station, Kalyani",100%,A
146,"Regional Office (ECZ), Ranchi, Ministry of Environment& forests",100%,A
147,"Registrar of Companies cum Official LiquidatorBilaspur, Chhattisgarh",94%,A
148,"REGISTRAR OF COMPANIES, Bangaluru",96%,A
149,"Registrar of Companies, Pune (Registrar of Companiesdoes not its own website",94%,A
150,"RITES, Ltd.",90%,A
151,Sikkim University,97%,A
152,"Specified Undertaking of Unit Trust of India(SUUTI),Mumbai",93%,A
