ministry,parent_org,code,name,address,pincode,officer_designation,org_level
Department of Administrative Reforms and PG,Department of Administrative Reforms and PG,ARCDV,DARPG ARC Division,"DARPG, SP Bhawan",,Deputy Secretary,2.0
Department of Administrative Reforms and PG,Department of Administrative Reforms and PG,ARDIV,AR Division,"AR Division  D/o ARPG  5th floor  S.P. Bhavan, Sansad Marg, New Delhi",110001.0,Director,2.0
Department of Administrative Reforms and PG,Department of Administrative Reforms and PG,ARDND,D&D Division,"D/of ARPG  DD Division, 5th Floor  S.P. Bhavan  Sansad Marg  New Delhi",110001.0,Director,2.0
Department of Administrative Reforms and PG,Department of Administrative Reforms and Public Grievances,ARNPG,Department of Administrative Reforms and PG,"5th Floor Sardar Patel Bhawan Sansad Marg  New Del, hi",110001.0,Deputy Secretary,1.0
Department of Administrative Reforms and PG,Department of Administrative Reforms and PG,ARPGA,"Admn . Div. ,Department of ARPG ,","5th floor sardar patel Bhavan , Parlaiment Street, New Delhi",110001.0,DS Admn.,2.0
Department of Administrative Reforms and PG,Department of Administrative Reforms and PG,ARPGC,"E-governance Division, DARPG","5th floor  Sardar Patel Bhavan , Parlaiment Street, New Delhi",110001.0,Deputy Secretary,2.0
Department of Administrative Reforms and PG,Department of Administrative Reforms and PG,ARPGI,"IE and C division, DARPG","Administrative Reforns Div.  DARPG  , 5th floor  Sardar Patel Bhavan  Parlaiment Street, New Delhi",110001.0,Director,2.0
Department of Administrative Reforms and PG,Department of Administrative Reforms and PG,ARPGN,NIC-DARPG,"Administrative Reforns Div.  DARPG  , 5th floor  Sardar Patel Bhavan  Parlaiment Street, New Delhi",110001.0,Sr. Technical director,2.0
Department of Administrative Reforms and PG,Department of Administrative Reforms and PG,ARPGO,OM Division of DARPG,"5th floor, SP Bhawan, N Delhi",110001.0,Under Secretary,2.0
Department of Administrative Reforms and PG,Department of Administrative Reforms and PG,ARPGP,"DARPG, PG Division","Administrative Reforns Div.  DARPG  , 5th floor  Sardar Patel Bhavan  Parlaiment Street, New Delhi",110001.0,Joint Secretary,2.0
Department of Administrative Reforms and PG,NIC-DARPG,NICPG,NIC-ARPG CPGRAMS Group,NIC PG Team 2nd Floor  SP Bhawan,110001.0,Technical Director,3.0
Ministry of Ayush,Ministry of Ayush,NIAYU,Director National Institutes,"AYUSH BHAVAN, B BLOCK   GPO COMPLEX  INA, NEW DELHI",110023.0,DIRECTOR,2.0
Ministry of Ayush,Ministry of Ayush,NIAJA,NATIONAL INSTITUTE OF AYURVEDA JAIPUR,"NATIONAL INSTITUTE OF AYURVEDA, MADHAV VILAS PALACE  JORAWAR SINGH GATE , AMER ROAD  JAIPUR-302002 RAJ.",302002.0,Director,2.0
Ministry of Ayush,Ministry of Ayush,NIHOH,National Institute of Homoeopathy,"Block-GE  Sector-III , Salt Lake, Kolkatta",700106.0,Director,2.0
Ministry of Ayush,Ministry of Ayush,NEIAH,NORTH EAST INSTITUTE of AYURVEDA n HOMOEOPATHY,"Mawdiangdiang, SHILLONG, SHILLONG",793018.0,Director,2.0
Ministry of Ayush,Ministry of Ayush,NEIFM,North Eastern Institute of Folk Medicine,"NEIFM Pasighat  Opp. APST Bus Terminal  High Regio, n  Pasighat  Arunachal Pradesh",791102.0,ADMINISTRATIVE OFFICER,2.0
Ministry of Ayush,Ministry of Ayush,NMPB1,National Medicinal Plants Board,"NMPB  GPO Complex  B-Block , AYUSH Bhawan   Room No.309 , 3rd Floor  INA",110023.0,Chief Executive Officer,2.0
Ministry of Ayush,Ministry of Ayush,PANDE,Director Planning and Education AYUSH,"AYUSH Bhavan  GPO Complex, B Block  INA, New Delhi",110023.0,Director,2.0
Ministry of Ayush,Ministry of Ayush,PATHY,Central Council for Research in Homoeopathy,"61-65 Institutional Area  Opp. D.Block, Janakpuri",110058.0,Director General,2.0
Ministry of Ayush,Ministry of Ayush,PHARM,Pharmacopoeial Laboratory of Inidna Medicine,Kamla Nehru Nagar  Ghaziabad,201002.0,Research Assistant,2.0
Ministry of Ayush,Ministry of Ayush,MDNIY,Morarji Desai National Institute of Yoga,68  Ashok Road,110001.0,Senior Medical Officer,2.0
Ministry of Ayush,Ministry of Ayush,NATUR,National Institute of Naturopathy,BAPU BHAVAN,411001.0,Administrative Officer,2.0
Ministry of Ayush,Ministry of Ayush,IMPCL,INDIAN MEDICINE PHARMACEUTICAL CORPORATION LTD.,"IMPCL  MOHAN  DISTT. ALMORA, (VIA RAMNAGAR), UTTRAKHAND",244715.0,Company Secretary,2.0
Ministry of Ayush,Ministry of Ayush,INDIA,Central Council of Indian Medicine,"61-65 Institutional Area  Opp. D. Block  Janakpuri,  New Delhi",110058.0,Assistant Registrar,2.0
Ministry of Ayush,Ministry of Ayush,IPGTR,Institute of Post Graduate Train and R.A,"Gujarat Ayurved University  Jamnagar, GAU",361008.0,Professor and H.O.D,2.0
Ministry of Ayush,Ministry of Ayush,JTAD1,Joint Advisor Ayurveda DR. KATOCH,"AYUSH BHAVAN  GPO COMPLEX, B BLOCK  INA, NEW DELHI",110023.0,JOINT ADVISOR AYURVEDA,2.0
Ministry of Ayush,Ministry of Ayush,JTAD2,JOINT ADVISOR AYURVEDA,"AYUSH BHAVAN  GPO COMPLEX, B BLOCK INA, NEW DELHI",110023.0,JOINT ADVISOR AYURVEDA,2.0
Ministry of Ayush,Ministry of Ayush,AYURV,National Institute of Ayurveda,"Jorawar Singh Gate  Amer Road  Jaipur,  ,  ",302002.0,Associate Professor,2.0
Ministry of Ayush,Department of Administrative Reforms and Public Grievances,AYUSH,Ministry of Ayush,"AYUSH BHAWAN  B Block  GPO Complex  INA  New Delhi,  NEW DELHI",110023.0,Director,1.0
Ministry of Ayush,Ministry of Ayush,ADVHO,Adviser Homoeopathy,"Ministry of AYUSH, AYUSH BHAWAN",110023.0,Adviser Homoeopathy,2.0
Ministry of Ayush,Ministry of Ayush,AIIAY,ALL INDIA INSTITUTE OF AYURVEDA,"Gautampuri, Mathura Road, Sarita Vihar",110076.0,Associate Professor,2.0
Ministry of Ayush,Ministry of Ayush,ADAY1,Adviser Ayurveda 1,"Ministry of Ayush, INA,  ",,Adviser Ayurveda,2.0
Ministry of Ayush,Ministry of Ayush,ADAY2,Adviser Ayurveda 2,"ministry of ayush, ayush bhawan,  ",,Adviser Ayurveda,2.0
Ministry of Ayush,DEPUTY ADVISOR HOMOEOPATH,CCRH1,Central Council for Research in Homoeopathy,"61-65  Institutional Area D Block, Janakpuri,  ",110058.0,Director General,3.0
Ministry of Ayush,Ministry of Ayush,CCRH2,Central Council for Research in Homoeopathy CCRH,"janakpuri, 61-65  Sewa Marg  Opp D Block  Institutional Area",110058.0,Director General,2.0
Ministry of Ayush,Ministry of Ayush,CCRAS,Central Council for Research in Ayurvedic Scicnces,"61-65 Institutional Area  Opp. d.Block, Janakpuri",110058.0,Director General,2.0
Ministry of Ayush,Ministry of Ayush,CCRSS,CENTRAL COUNCIL FOR RESEARCH IN SIDDHA,"ANNA HOSPITAL CAMPUS, ARUMBAKKAM, CHENNAI",600106.0,Director General,2.0
Ministry of Ayush,Ministry of Ayush,CCRUM,CENTRAL COUNCIL RESEARCH IN UNANI MEDICINE,"Central Council for Research in Unani Medicine, Jawahar Lal Nehru AYUSH Anusandhan Bhawan, 61-65  Institutional Area  Janakpuri  New Delhi",110058.0,Director General,2.0
Ministry of Ayush,Ministry of Ayush,CCRYN,Central Council for Yoga and Naturopathy,"61-65  Institutional Area  Opp. D Block  Janakpuri,   New Delhi",110058.0,Asstt. Director Naturpoathy,2.0
Ministry of Ayush,Ministry of Ayush,CENTR,Central Council of Homoeopathy,Central Council of Homoeopathy,110058.0,Asstt. Secretary,2.0
Ministry of Ayush,Ministry of Ayush,DAADH,DEPUTY ADVISOR HOMOEOPATH,"AYUSH BHAVAN GPO COMPLEX B BLOCK, INA, NEW DELHI",110023.0,DEPUTY ADVISOR HOMOEOPATH,2.0
Ministry of Ayush,Ministry of Ayush,DAEP2,EP-2,"EP-2 Section, Ministry of AYUSH, AYUSH BHAWAN",110023.0,Deputy Advisor Homoeopathy,2.0
Ministry of Ayush,Ministry of Ayush,DICOE,Director COE,"Ministry of AYUSH, Ayush Bhawan,  ",110023.0,Director,2.0
Ministry of Ayush,Ministry of Ayush,DIEP1,EP 1,Ayush Bhawan  B-Block  GPO Complex INA New delhi,110023.0,Director,2.0
