Category,Sub Category
Advertisement,Flex and banners
Advertisement,Unsafe Hoardings
BBMP Election Branch,Electoral Roll Objections
BBMP Election Branch,Epic Details Corrections
CORONA COVID19,Government regulations not being followed
CORONA COVID19,Non availability of vaccines
CORONA COVID19,Others
CORONA COVID19,Overcharging
CORONA COVID19,Some other person affected from COVID
CORONA COVID19,Stockout
Call Center,Call center Issues
Call Center,others
E khata / Khata services,Do not issue ekhata
E khata / Khata services,E-Khata Non-Technical Issues
E khata / Khata services,Ekhata - name correction
E khata / Khata services,Ekhata Area Correction
E khata / Khata services,Ekhata Other corrections
E khata / Khata services,Ekhata in previous owner name
E khata / Khata services,Ekhata missing in online
E khata / Khata services,Khata / Ekhata mutation / transfer
E khata / Khata services,Other Khata / ekhata issues
E khata / Khata services,Technical Issue In Ekhata
E khata / Khata services,eKhata - name Mismatch
E khata / Khata services,eKhata amalgamation
E khata / Khata services,ekhata approval pending with ARO
E khata / Khata services,new Khata / Ekhata registration / creation
Education,Academic Issues.
Education,Examination Related Issues
Education,Infrastructure related Issues.
Education,Parent-Teachers Meeting
Education,Sports and co- Curricular Activities
Electrical,Earthing Issue relate to Electric Poles/Panel Boards
Electrical,Open Electrical Junction Box
Electrical,Park Lights Not Working
Electrical,Requirement For New Street Lights
Electrical,Street Light Not Working
Electrical,Street Lights Switched On During Day Time
Estate,BBMP  Properties Lease issues
Estate,Encroachment
Estate,Payment/Rent issues
Estate,Violation of rules by property Leasers
Forest,Issues related Snakes/Birds/Monkeys
Forest,Removal of dead/fallen trees
Forest,obstructions Branches / Trees.
Health Dept,Air/Noise pollution
Health Dept,Birth & Death Registration
Health Dept,Delay in issue of Trade licence
Health Dept,Dengue positive
Health Dept,Fogging
Health Dept,Increase in mosquito density
Health Dept,Indira Canteen
Health Dept,Non availability of drugs
Health Dept,Non availability of vaccines
Health Dept,Spraying
Health Dept,Unavailability of staff
Health Dept,Unhygienic  premises in hospital
Health Dept,Unhygienic premises in Hotel etc
Health Dept,Zonal Violation of the Building
Indira Canteen,Billing related
Indira Canteen,Cleanliness
Indira Canteen,Cleanliness of Canteen /Food Area
Indira Canteen,Cleanliness of Utensils
Indira Canteen,Food Quality
Indira Canteen,Food Quantity
Indira Canteen,Others
Indira Canteen,Staff Related
Indira Canteen,Water quality
Information Technology,App Related Issues
Information Technology,Others(Technical or Software Issues)
Lakes,Dumping of construction & Demolition waste in to lake
