closing_date,pincode,recvd_date,remarks_text,resolution_date,sex,state,subject_content_text
{'$date': '2023-02-07T00:00:00Z'},396001,{'$date': '2023-01-31T00:00:00Z'},,,M,GJ,"WITH REFERENCE TO UNANSWERED R.T.I., E MAILS, LETTERS IN 2021,2022, HONOURABLE SUPREME COURT HELPED EXTREME NOISE MAKERS IN DAMAN, VALSAD AND DANG, HYPERACUSES AND OTHER PATIENTS,STUDENTS AND HARD WORKERS. IT CAUSED IRREPARABLE DAMAGES. POLICE WAS INFORMED, MY NAME WAS GIVEN, I WAS PRESSURISED, THREATENED AT ALL THREE DISTRICTS. ANWER OF ACTION ON EACH MATTER IS PLEADED WITHOUT FURTHER MISUSE OF CONFERRED POWERS."
{'$date': '2023-02-17T00:00:00Z'},212109,{'$date': '2023-01-31T00:00:00Z'},,,f,UP,"

सेवामें माननीय मुख्यमंत्री योगी आदित्यनाथ जी से विषय भू मानचित्र कहली मे कटिंग के संबंध में निम्न संदर्भ संख्या X0X0X2X0X5X3X3 व मोबाइल नंबर X3X8X8X2X3 शासन के आदेश के क्रम में मुकदमा पंजीकृत कराने के संबंध में सविनय निवेदन है कि प्रार्थिनी बुधनी पत्नी शिव बरन मंनी लाल पुत्र पुन्नीलाल दिनेश कुमार व श्याम बाबू पुत्र रामआसरे हरिराम व राम बहादुर पुत्र मोहनलाल योगी ग्राम व पोस्ट कहली परगना सिकंदरा ब्लाक बहरिया थाना मऊआइमा तहसील फूलपुर जनपद निवासी है जो कि प्रार्थी की भूमि मनचित्र कहली में कटिंग की गई है जोकि गाटा संख्या 267 / 1670 व 267 बटा 1671 व 267 / 1672 जो की कटिंग करके 268 बटे 1670व 268 / 1671व 268/1672 किया गया है30-07-2021 लोक शिकायत अनुभाग 40 से मुख्यमंत्री कार्यालय 41 अपर मुख्य सचिव / प्रमुख सचिव / स सचिव, राजस्व एवं आपदा विभाग आदेश आदेश देने वाले यो अधिकारी अपर मुख्य सचिव प्रमुख सचिव / सचिव राजस्व ल एवं आपदा विभाग आदेश दिनांक 29-06-2022 अधिकारी को प्रेषित अपर मुख्य सचिव / प्रमुख सचिव / सचिव राजस्व एवं आपदा विभाग आदेशमहोदय आवेदक की समस्या का समाधान नहीं हुआ है प्रकरण की sdm a co की संयुक्त टीमबनाकर स्थलीय व अभिलेखीय साक्ष्यों के आधारपर आवेदक की समस्या का समाधान कराएँ। स्थितिसंदर्भ का प्रकार आदेश देने वाले अधिकारीआदेश दिनांक अपर मुख्य सचिव / प्रमुख सचिव / सचिव ( राजस्व एवं आपदा से क विभाग) X9X0X-X0X2X0X8:47 अग्रसारित विवरण आदेश दिनांक 29-06-2022 जिलाधिकारी, अधिकारी को प्रेषित आदेशमहोदय आवेदक की समस्या का समाधान नहीं व हुआ है प्रकरण की sdm a CO की संयुक्ता टीम बनाकर पर स्थलीय व अभिलेखीय साक्ष्यों के आधार पर आवेदक की समस्या का समाधान कराएँ राजस्व अभिलेखों में की गयी प्रविष्टियों की लिखावट में समरूपता नहीं पायी गयी है व कटिंग किया जाना प्रमाणित है, इस बिन्दु पर क्या कार्यवाही की गयी यह जांच रिपोर्ट में स्पष्ट नहीं किया जा रहा है। विस्तृत जांच कराकर आख्या अपलोड करेंआदेश देने वाले अधिकारी अपर मुख्य सचिव प्रमुख सचिव / सचिव (राजस्व) से एवं आपदा विभाग) आदेश दिनांक 29-06-2022अधिकारी को प्रेषित जिलाधिकारी, आदेशमहोदय आवेदक की समस्या यो का समाधान नहीं हुआ है प्रकरण की sdm a co की संयुक्त ल टीम बनाकर स्थलीय व अभिलेखीय साक्ष्यों के आधार पर आवेदक की समस्या का समाधान कराएँ। ग्राम कह ली के आकार पत्र 41 व 45 एवं खतौनी में आराजी संख्या 2671670, 2671671 एवं 2671672 आवेदिका के नाम दर्ज है, जबकि भूमानचित्र में X6X X X6X0X/X2X8 बटे 1672 हो गया है। यह क्यों व कैसे हुआ किसकी लापरवाही से हुआ, जांच कर कोई कार्यवाही नहीं की गयी है, जिसके कारण से आवेदिका लगातार शिकायती प्रार्थना पत्र प्रस्तुत कर रही है। एस० डी०एम० एवं चकबन्दी अधिकारी की टीम गठित कर विस्तृत जांच कराकर दोषी कर्मचारियों व अधिकारियों के विरूद्ध कार्यवाही करते हुए आख्या अपलोड करें। प्रश्नगत व प्रकरण में प्रार्थीनी को अपूरणीय क्षति होगी महोदय शासन पर के आदेश के क्रम में भू मानचित्र कहली में कटिंग के संबंध में संबंधित पर एफ0आई0आर0 दर्ज कर ना न्याय हित में है संबंधित पर एफ 10आई0आर0 दर्ज कराया जाने की महान कृपा करें माननीय मुख्यमंत्री योगी आदित्यनाथ जी के प्रार्थनीय सदा आभारी एवं ऋणी रहेगी सेवा में प्रार्थिनी बुधनी दे वी"
{'$date': '2023-02-17T00:00:00Z'},212109,{'$date': '2023-01-31T00:00:00Z'},,,f,UP,"

सेवामें माननीय मुख्यमंत्री योगी आदित्यनाथ जी से विषय भू मानचित्र कहली मे कटिंग के संबंध में निम्न संदर्भ संख्या X0X0X2X0X5X3X3 व मोबाइल नंबर X3X8X8X2X3 शासन के आदेश के क्रम में मुकदमा पंजीकृत कराने के संबंध में सविनय निवेदन है कि प्रार्थिनी बुधनी पत्नी शिव बरन मंनी लाल पुत्र पुन्नीलाल दिनेश कुमार व श्याम बाबू पुत्र रामआसरे हरिराम व राम बहादुर पुत्र मोहनलाल योगी ग्राम व पोस्ट कहली परगना सिकंदरा ब्लाक बहरिया थाना मऊआइमा तहसील फूलपुर जनपद निवासी है जो कि प्रार्थी की भूमि मनचित्र कहली में कटिंग की गई है जोकि गाटा संख्या 267 / 1670 व 267 बटा 1671 व 267 / 1672 जो की कटिंग करके 268 बटे 1670व 268 / 1671व 268/1672 किया गया है30-07-2021 लोक शिकायत अनुभाग 40 से मुख्यमंत्री कार्यालय 41 अपर मुख्य सचिव / प्रमुख सचिव / स सचिव, राजस्व एवं आपदा विभाग आदेश आदेश देने वाले यो अधिकारी अपर मुख्य सचिव प्रमुख सचिव / सचिव राजस्व ल एवं आपदा विभाग आदेश दिनांक 29-06-2022 अधिकारी को प्रेषित अपर मुख्य सचिव / प्रमुख सचिव / सचिव राजस्व एवं आपदा विभाग आदेशमहोदय आवेदक की समस्या का समाधान नहीं हुआ है प्रकरण की sdm a co की संयुक्त टीमबनाकर स्थलीय व अभिलेखीय साक्ष्यों के आधारपर आवेदक की समस्या का समाधान कराएँ। स्थितिसंदर्भ का प्रकार आदेश देने वाले अधिकारीआदेश दिनांक अपर मुख्य सचिव / प्रमुख सचिव / सचिव ( राजस्व एवं आपदा से क विभाग) X9X0X-X0X2X0X8:47 अग्रसारित विवरण आदेश दिनांक 29-06-2022 जिलाधिकारी, अधिकारी को प्रेषित आदेशमहोदय आवेदक की समस्या का समाधान नहीं व हुआ है प्रकरण की sdm a CO की संयुक्ता टीम बनाकर पर स्थलीय व अभिलेखीय साक्ष्यों के आधार पर आवेदक की समस्या का समाधान कराएँ राजस्व अभिलेखों में की गयी प्रविष्टियों की लिखावट में समरूपता नहीं पायी गयी है व कटिंग किया जाना प्रमाणित है, इस बिन्दु पर क्या कार्यवाही की गयी यह जांच रिपोर्ट में स्पष्ट नहीं किया जा रहा है। विस्तृत जांच कराकर आख्या अपलोड करेंआदेश देने वाले अधिकारी अपर मुख्य सचिव प्रमुख सचिव / सचिव (राजस्व) से एवं आपदा विभाग) आदेश दिनांक 29-06-2022अधिकारी को प्रेषित जिलाधिकारी, आदेशमहोदय आवेदक की समस्या यो का समाधान नहीं हुआ है प्रकरण की sdm a co की संयुक्त ल टीम बनाकर स्थलीय व अभिलेखीय साक्ष्यों के आधार पर आवेदक की समस्या का समाधान कराएँ। ग्राम कह ली के आकार पत्र 41 व 45 एवं खतौनी में आराजी संख्या 2671670, 2671671 एवं 2671672 आवेदिका के नाम दर्ज है, जबकि भूमानचित्र में X6X X X6X0X/X2X8 बटे 1672 हो गया है। यह क्यों व कैसे हुआ किसकी लापरवाही से हुआ, जांच कर कोई कार्यवाही नहीं की गयी है, जिसके कारण से आवेदिका लगातार शिकायती प्रार्थना पत्र प्रस्तुत कर रही है। एस० डी०एम० एवं चकबन्दी अधिकारी की टीम गठित कर विस्तृत जांच कराकर दोषी कर्मचारियों व अधिकारियों के विरूद्ध कार्यवाही करते हुए आख्या अपलोड करें। प्रश्नगत व प्रकरण में प्रार्थीनी को अपूरणीय क्षति होगी महोदय शासन पर के आदेश के क्रम में भू मानचित्र कहली में कटिंग के संबंध में संबंधित पर एफ0आई0आर0 दर्ज कर ना न्याय हित में है संबंधित पर एफ 10आई0आर0 दर्ज कराया जाने की महान कृपा करें माननीय मुख्यमंत्री योगी आदित्यनाथ जी के प्रार्थनीय सदा आभारी एवं ऋणी रहेगी सेवा में प्रार्थिनी बुधनी देवी"
{'$date': '2023-02-17T00:00:00Z'},212109,{'$date': '2023-01-31T00:00:00Z'},,,f,UP,"

सेवामें माननीय मुख्यमंत्री योगी आदित्यनाथ जी से विषय भू मानचित्र कहली मे कटिंग के संबंध में निम्न संदर्भ संख्या X0X0X2X0X5X3X3 व मोबाइल नंबर X3X8X8X2X3 शासन के आदेश के क्रम में मुकदमा पंजीकृत कराने के संबंध में सविनय निवेदन है कि प्रार्थिनी बुधनी पत्नी शिव बरन मंनी लाल पुत्र पुन्नीलाल दिनेश कुमार व श्याम बाबू पुत्र रामआसरे हरिराम व राम बहादुर पुत्र मोहनलाल योगी ग्राम व पोस्ट कहली परगना सिकंदरा ब्लाक बहरिया थाना मऊआइमा तहसील फूलपुर जनपद निवासी है जो कि प्रार्थी की भूमि मनचित्र कहली में कटिंग की गई है जोकि गाटा संख्या 267 / 1670 व 267 बटा 1671 व 267 / 1672 जो की कटिंग करके 268 बटे 1670व 268 / 1671व 268/1672 किया गया है30-07-2021 लोक शिकायत अनुभाग 40 से मुख्यमंत्री कार्यालय 41 अपर मुख्य सचिव / प्रमुख सचिव / स सचिव, राजस्व एवं आपदा विभाग आदेश आदेश देने वाले यो अधिकारी अपर मुख्य सचिव प्रमुख सचिव / सचिव राजस्व ल एवं आपदा विभाग आदेश दिनांक 29-06-2022 अधिकारी को प्रेषित अपर मुख्य सचिव / प्रमुख सचिव / सचिव राजस्व एवं आपदा विभाग आदेशमहोदय आवेदक की समस्या का समाधान नहीं हुआ है प्रकरण की sdm a co की संयुक्त टीमबनाकर स्थलीय व अभिलेखीय साक्ष्यों के आधारपर आवेदक की समस्या का समाधान कराएँ। स्थितिसंदर्भ का प्रकार आदेश देने वाले अधिकारीआदेश दिनांक अपर मुख्य सचिव / प्रमुख सचिव / सचिव ( राजस्व एवं आपदा से क विभाग) X9X0X-X0X2X0X8:47 अग्रसारित विवरण आदेश दिनांक 29-06-2022 जिलाधिकारी, अधिकारी को प्रेषित आदेशमहोदय आवेदक की समस्या का समाधान नहीं व हुआ है प्रकरण की sdm a CO की संयुक्ता टीम बनाकर पर स्थलीय व अभिलेखीय साक्ष्यों के आधार पर आवेदक की समस्या का समाधान कराएँ राजस्व अभिलेखों में की गयी प्रविष्टियों की लिखावट में समरूपता नहीं पायी गयी है व कटिंग किया जाना प्रमाणित है, इस बिन्दु पर क्या कार्यवाही की गयी यह जांच रिपोर्ट में स्पष्ट नहीं किया जा रहा है। विस्तृत जांच कराकर आख्या अपलोड करेंआदेश देने वाले अधिकारी अपर मुख्य सचिव प्रमुख सचिव / सचिव (राजस्व) से एवं आपदा विभाग) आदेश दिनांक 29-06-2022अधिकारी को प्रेषित जिलाधिकारी, आदेशमहोदय आवेदक की समस्या यो का समाधान नहीं हुआ है प्रकरण की sdm a co की संयुक्त ल टीम बनाकर स्थलीय व अभिलेखीय साक्ष्यों के आधार पर आवेदक की समस्या का समाधान कराएँ। ग्राम कह ली के आकार पत्र 41 व 45 एवं खतौनी में आराजी संख्या 2671670, 2671671 एवं 2671672 आवेदिका के नाम दर्ज है, जबकि भूमानचित्र में X6X X X6X0X/X2X8 बटे 1672 हो गया है। यह क्यों व कैसे हुआ किसकी लापरवाही से हुआ, जांच कर कोई कार्यवाही नहीं की गयी है, जिसके कारण से आवेदिका लगातार शिकायती प्रार्थना पत्र प्रस्तुत कर रही है। एस० डी०एम० एवं चकबन्दी अधिकारी की टीम गठित कर विस्तृत जांच कराकर दोषी कर्मचारियों व अधिकारियों के विरूद्ध कार्यवाही करते हुए आख्या अपलोड करें। प्रश्नगत व प्रकरण में प्रार्थीनी को अपूरणीय क्षति होगी महोदय शासन पर के आदेश के क्रम में भू मानचित्र कहली में कटिंग के संबंध में संबंधित पर एफ0आई0आर0 दर्ज कर ना न्याय हित में है संबंधित पर एफ 10आई0आर0 दर्ज कराया जाने की महान कृपा करें माननीय मुख्यमंत्री योगी आदित्यनाथ जी के प्रार्थनीय सदा आभारी एवं ऋणी रहेगी सेवा में प्रार्थिनी बु धनी देवी"
{'$date': '2023-02-17T00:00:00Z'},212109,{'$date': '2023-01-31T00:00:00Z'},,,f,UP,"

सेवामें माननीय मुख्यमंत्री योगी आदित्यनाथ जी से विषय भू मानचित्र कहली मे कटिंग के संबंध में निम्न संदर्भ संख्या X0X0X2X0X5X3X3 व मोबाइल नंबर X3X8X8X2X3 शासन के आदेश के क्रम में मुकदमा पंजीकृत कराने के संबंध में सविनय निवेदन है कि प्रार्थिनी बुधनी पत्नी शिव बरन मंनी लाल पुत्र पुन्नीलाल दिनेश कुमार व श्याम बाबू पुत्र रामआसरे हरिराम व राम बहादुर पुत्र मोहनलाल योगी ग्राम व पोस्ट कहली परगना सिकंदरा ब्लाक बहरिया थाना मऊआइमा तहसील फूलपुर जनपद निवासी है जो कि प्रार्थी की भूमि मनचित्र कहली में कटिंग की गई है जोकि गाटा संख्या 267 / 1670 व 267 बटा 1671 व 267 / 1672 जो की कटिंग करके 268 बटे 1670व 268 / 1671व 268/1672 किया गया है30-07-2021 लोक शिकायत अनुभाग 40 से मुख्यमंत्री कार्यालय 41 अपर मुख्य सचिव / प्रमुख सचिव / स सचिव, राजस्व एवं आपदा विभाग आदेश आदेश देने वाले यो अधिकारी अपर मुख्य सचिव प्रमुख सचिव / सचिव राजस्व ल एवं आपदा विभाग आदेश दिनांक 29-06-2022 अधिकारी को प्रेषित अपर मुख्य सचिव / प्रमुख सचिव / सचिव राजस्व एवं आपदा विभाग आदेशमहोदय आवेदक की समस्या का समाधान नहीं हुआ है प्रकरण की sdm a co की संयुक्त टीमबनाकर स्थलीय व अभिलेखीय साक्ष्यों के आधारपर आवेदक की समस्या का समाधान कराएँ। स्थितिसंदर्भ का प्रकार आदेश देने वाले अधिकारीआदेश दिनांक अपर मुख्य सचिव / प्रमुख सचिव / सचिव ( राजस्व एवं आपदा से क विभाग) X9X0X-X0X2X0X8:47 अग्रसारित विवरण आदेश दिनांक 29-06-2022 जिलाधिकारी, अधिकारी को प्रेषित आदेशमहोदय आवेदक की समस्या का समाधान नहीं व हुआ है प्रकरण की sdm a CO की संयुक्ता टीम बनाकर पर स्थलीय व अभिलेखीय साक्ष्यों के आधार पर आवेदक की समस्या का समाधान कराएँ राजस्व अभिलेखों में की गयी प्रविष्टियों की लिखावट में समरूपता नहीं पायी गयी है व कटिंग किया जाना प्रमाणित है, इस बिन्दु पर क्या कार्यवाही की गयी यह जांच रिपोर्ट में स्पष्ट नहीं किया जा रहा है। विस्तृत जांच कराकर आख्या अपलोड करेंआदेश देने वाले अधिकारी अपर मुख्य सचिव प्रमुख सचिव / सचिव (राजस्व) से एवं आपदा विभाग) आदेश दिनांक 29-06-2022अधिकारी को प्रेषित जिलाधिकारी, आदेशमहोदय आवेदक की समस्या यो का समाधान नहीं हुआ है प्रकरण की sdm a co की संयुक्त ल टीम बनाकर स्थलीय व अभिलेखीय साक्ष्यों के आधार पर आवेदक की समस्या का समाधान कराएँ। ग्राम कह ली के आकार पत्र 41 व 45 एवं खतौनी में आराजी संख्या 2671670, 2671671 एवं 2671672 आवेदिका के नाम दर्ज है, जबकि भूमानचित्र में X6X X X6X0X/X2X8 बटे 1672 हो गया है। यह क्यों व कैसे हुआ किसकी लापरवाही से हुआ, जांच कर कोई कार्यवाही नहीं की गयी है, जिसके कारण से आवेदिका लगातार शिकायती प्रार्थना पत्र प्रस्तुत कर रही है। एस० डी०एम० एवं चकबन्दी अधिकारी की टीम गठित कर विस्तृत जांच कराकर दोषी कर्मचारियों व अधिकारियों के विरूद्ध कार्यवाही करते हुए आख्या अपलोड करें। प्रश्नगत व प्रकरण में प्रार्थीनी को अपूरणीय क्षति होगी महोदय शासन पर के आदेश के क्रम में भू मानचित्र कहली में कटिंग के संबंध में संबंधित पर एफ0आई0आर0 दर्ज कर ना न्याय हित में है संबंधित पर एफ 10आई0आर0 दर्ज कराया जाने की महान कृपा करें माननीय मुख्यमंत्री योगी आदित्यनाथ जी के प्रार्थनीय सदा आभारी ए वं ऋणी रहेगी सेवा में प्रार्थिनी बुधनी देवी"
{'$date': '2023-02-17T00:00:00Z'},212109,{'$date': '2023-01-31T00:00:00Z'},,,f,UP,"

सेवामें माननीय मुख्यमंत्री योगी आदित्यनाथ जी से विषय भू मानचित्र कहली मे कटिंग के संबंध में निम्न संदर्भ संख्या X0X0X2X0X5X3X3 व मोबाइल नंबर X3X8X8X2X3 शासन के आदेश के क्रम में मुकदमा पंजीकृत कराने के संबंध में सविनय निवेदन है कि प्रार्थिनी बुधनी पत्नी शिव बरन मंनी लाल पुत्र पुन्नीलाल दिनेश कुमार व श्याम बाबू पुत्र रामआसरे हरिराम व राम बहादुर पुत्र मोहनलाल योगी ग्राम व पोस्ट कहली परगना सिकंदरा ब्लाक बहरिया थाना मऊआइमा तहसील फूलपुर जनपद निवासी है जो कि प्रार्थी की भूमि मनचित्र कहली में कटिंग की गई है जोकि गाटा संख्या 267 / 1670 व 267 बटा 1671 व 267 / 1672 जो की कटिंग करके 268 बटे 1670व 268 / 1671व 268/1672 किया गया है30-07-2021 लोक शिकायत अनुभाग 40 से मुख्यमंत्री कार्यालय 41 अपर मुख्य सचिव / प्रमुख सचिव / स सचिव, राजस्व एवं आपदा विभाग आदेश आदेश देने वाले यो अधिकारी अपर मुख्य सचिव प्रमुख सचिव / सचिव राजस्व ल एवं आपदा विभाग आदेश दिनांक 29-06-2022 अधिकारी को प्रेषित अपर मुख्य सचिव / प्रमुख सचिव / सचिव राजस्व एवं आपदा विभाग आदेशमहोदय आवेदक की समस्या का समाधान नहीं हुआ है प्रकरण की sdm a co की संयुक्त टीमबनाकर स्थलीय व अभिलेखीय साक्ष्यों के आधारपर आवेदक की समस्या का समाधान कराएँ। स्थितिसंदर्भ का प्रकार आदेश देने वाले अधिकारीआदेश दिनांक अपर मुख्य सचिव / प्रमुख सचिव / सचिव ( राजस्व एवं आपदा से क विभाग) X9X0X-X0X2X0X8:47 अग्रसारित विवरण आदेश दिनांक 29-06-2022 जिलाधिकारी, अधिकारी को प्रेषित आदेशमहोदय आवेदक की समस्या का समाधान नहीं व हुआ है प्रकरण की sdm a CO की संयुक्ता टीम बनाकर पर स्थलीय व अभिलेखीय साक्ष्यों के आधार पर आवेदक की समस्या का समाधान कराएँ राजस्व अभिलेखों में की गयी प्रविष्टियों की लिखावट में समरूपता नहीं पायी गयी है व कटिंग किया जाना प्रमाणित है, इस बिन्दु पर क्या कार्यवाही की गयी यह जांच रिपोर्ट में स्पष्ट नहीं किया जा रहा है। विस्तृत जांच कराकर आख्या अपलोड करेंआदेश देने वाले अधिकारी अपर मुख्य सचिव प्रमुख सचिव / सचिव (राजस्व) से एवं आपदा विभाग) आदेश दिनांक 29-06-2022अधिकारी को प्रेषित जिलाधिकारी, आदेशमहोदय आवेदक की समस्या यो का समाधान नहीं हुआ है प्रकरण की sdm a co की संयुक्त ल टीम बनाकर स्थलीय व अभिलेखीय साक्ष्यों के आधार पर आवेदक की समस्या का समाधान कराएँ। ग्राम कह ली के आकार पत्र 41 व 45 एवं खतौनी में आराजी संख्या 2671670, 2671671 एवं 2671672 आवेदिका के नाम दर्ज है, जबकि भूमानचित्र में X6X X X6X0X/X2X8 बटे 1672 हो गया है। यह क्यों व कैसे हुआ किसकी लापरवाही से हुआ, जांच कर कोई कार्यवाही नहीं की गयी है, जिसके कारण से आवेदिका लगातार शिकायती प्रार्थना पत्र प्रस्तुत कर रही है। एस० डी०एम० एवं चकबन्दी अधिकारी की टीम गठित कर विस्तृत जांच कराकर दोषी कर्मचारियों व अधिकारियों के विरूद्ध कार्यवाही करते हुए आख्या अपलोड करें। प्रश्नगत व प्रकरण में प्रार्थीनी को अपूरणीय क्षति होगी महोदय शासन पर के आदेश के क्रम में भू मानचित्र कहली में कटिंग के संबंध में संबंधित पर एफ0आई0आर0 दर्ज कर ना न्याय हित में है संबंधित पर एफ 10आई0आर0 दर्ज कराया जाने की महान कृपा करें माननीय मुख्यमंत्री योगी आदित्यनाथ जी के प्रार्थनीय सदा आभारी एवं ऋणी रहेगी सेवा में प्रार्थिनी बुधनी देवी"
{'$date': '2023-04-08T00:00:00Z'},387370,{'$date': '2023-01-31T00:00:00Z'}, આ સાથે કરેલ કાર્યવાહીનો અહેવાલ સ્કેન કરી સામેલ રાખેલ છે. ,{'$date': '2023-04-08T00:00:00Z'},m,GJ,"પ્રતિક ભટ્ટ (પત્રકાર )
મું -ઉત્તરસંડા 
મો - X2X0X4X6X9

(આરોપી :- દિનેશ પરમાર ઉર્ફે રોમો મો X5X8X3X3X2)
પ્રતિ શ્રી વડાપ્રધાન સાહેબ શ્રી (દિલ્હી)
પ્રતિ શ્રી ગૃહ મંત્રી શ્રી,(દિલ્હી)

પ્રતિ શ્રી કલેક્ટર શ્રી નડીઆદ
પ્રતિ શ્રી ખેડા એસ. પી. સાહેબ શ્રી નડીઆદ 

વિષય :- ઉત્તરસંડા ગામ નો ગુંડો છરો બતાવી ગરુ કાપી નાખવા બાબત )


જય ભારત સાથે જણાવવાનું કે અમો ફરિયાદી ઉપરોક્ત સરનામે રહી એ છે.
આ સાથે ઉપર ના વિષય ના અનુસંધાને જણવવાનું કે
અમારા ગામ નો ગુંડો દિનેશ પરમાર ઉર્ફે રોમો રહે ભાથીજી મંદિર પાસે ઉત્તરસંડા અમો ફરિયાદી ઉત્તરસંડા ગામ માં કામે થીભાથીજી મંદિર તા .24/1/23 ના રોજ જતા હતા તે દરમયાન અમારું મોટરસાયકલ ઉભું રાખી ને ગમે તેમ બીભતસ્સ ગંદી ગારો બોલી અમો ને છરો બતાવી ને એવુ કેહતા હતા કે સીધો રહેજે નહીતો તારું ગરુ આ છરા થી કાપી કાડીસ 
અમો ને બાઈક પર ઉભા રાખી ને અમારી ફેટ પકડી હતી અને અમોને ગંદી , બિભત્સ ગાળો 
તેમ જૂની રીસ રાખી ગાળા ગાળી કરીને ધોલ ધાપટ મારીને કેહતો હતો કે તને જીવતો નહીં છોડું, તે મને બદનામ કરીઓ છે તેમ હું પણ તને બદનામ કરીશ. હું દરબાર છું મારી જોડે આખી ભાગોળ છે મારી ગેંગ તને નઈ છોડે તેવું પણ કેહતો હતો.

માટે આપ શ્રી મેહરબાન સાહેબ વહેલી તકે આવા ગુંડા તત્વો સામે કાયદેસર ની કાર્યવાહી કરી પાકા જામીન લેવા નમ્ર અરજ છે.


આપનો વિશ્વાશું
પ્રતિક ભટ્ટ (પત્રકાર)
મો -X2X0X4X6X9
નડીઆદ તાલુકા ના ચકલાસી પોલીસ
સ્ટેશન ના જમાદાર કેતનભાઈ, આરોપી ની ઘરે જાય છે પણ પકડ કરતા નથી? શા કારણે આરોપી નો બચાવો કરે છે??
વહેલી તકે આરોપી ની ધરપકકડ કરી કાયદેસર ની કાર્ય વાહી કરવા વિનંતી 🙏🏻"
{'$date': '2023-02-09T00:00:00Z'},480661,{'$date': '2023-01-31T00:00:00Z'}," The Grievance is forwarded to Appropriate Government and Appropriate Authority i.e. State Government of Madhya Pradesh and Labour Commissioner, Madhya Pradesh. The Complainant is advised to pursue the matter/and file application/ claim in the office of Labour Commissioner of Madhya Pradesh.",{'$date': '2023-02-09T00:00:00Z'},m,MP,"मेरे द्वारा प्रस्तुत Grievance No. XEXOX/X/X0X0X7X को आपके द्वारा लेबर कमिश्नर जबलपुर को भेजा गया जिसे बिना निराकरण तथा बिना किसी सुनवाई के आज अचानक बंद कर दिया गया। मेरे द्वारा उनके दूरभाष नंबर X7X1X4X0X1X पर संपर्क करने पर तिलहन संघ तथा राज्य सरकार का मैटर बताकर संबंधित विभाग से ही संपर्क करने को कहा गया, जबकि इसके पूर्व CM HELPLINE द्वारा भी बिना निराकरण उच्च स्तर से शिकायतें बंद कराई गई हैं। 
 ऐसा स्पष्ट प्रतीत हो रहा है कि ग्रेच्युटी एक्ट का जानबूझकर उल्लंघन कर मेरे संवैधानिक अधिकारों का हनन किया जा रहा है। इस स्थिति में मुझे न्याय दिलाने हेतु लेबर कमिश्नर जबलपुर को पुनः युक्तियुक्त द्विपक्षीय सुनवाई का अवसर प्रदान कर संवैधानिक व्यवस्थाओं के अनुरूप निर्णय लेने हेतु आवश्यक निर्देश देने की कृपा करें। 🙏"
,560058,{'$date': '2023-01-31T00:00:00Z'},,,m,KN,"Respected Sir/Mam, I am making this request in the interests of practicing Physiotherapists in India, which is as follows:-
1. GOVERNMENT OF INDIA ENACTED NCAHP ACT -NATIONAL COMISSION FOR ALLIED AND HEALTHCARE XRXFXSXIXNXL COUNCIL ACT 2021 ON 28.03.2021, NCAHP ACT 2021 GAZETTE XOXIXIXAXIXN NUMBER IS CG-DL-E- X8X3X0X2X2X6X1X,GSR NO-346, ACCORDING TO THIS ACT AS CLINICAL XSXAXLXSXMXNX ACT (CEA)IN SOME STATES OF INDIA WHERE COUNCIL IS FORMED AND THEY STATRTED XEXIXTXAXIXN AND ASP THE CENTRAL COUNCIL ALSO WILL START THE XEXIXTXAXIXN, BUT SIR OUR INDIAN XHXSXOXHXRXPXSXS CAN NOT AFFORD TWO TIMES FEES FOR XEXIXTXAXIXN AS STATE AND CENTRE XEXIXTXAXIXN. SO WE ARE REQUESTING WITH FOLDED HANDS PLEASE DO SOMETHING BETTER FOR PUR XHXSXOXHXRXPXSXS.
2. As per Section 20 of NCAHP Act, 2021, ""healthcare professional"" includes a scientist, therapist or other professional who studies, advises, researches, supervises or provides preventive, curative, rehabilitative, therapeutic or promotional health services and who has obtained any qualification of degree under this Act, the duration of which shall not be less than three thousand six hundred hours spread over a period of three years to six years divided into specific semesters, and Physiotherapists are independent practitioners, but of independant practioners then why other healthcare professionals are interfering in their work ? Every ortho and neuro doctor recommend Physiotherapy on their letter head as SWD, IFT, TENS etc even they dont know about Physiotherapy modalities, and they even did not studied in their syllabus about Physiotherapy modalities.
3. As in many states, councils have been formed under NCHAP and those councils are taking registration fees as well as fines at their own discretion.Is there any registration fee or fine scheduled by Central Council? If not, why is it being taken? Please get it checked at the highest level. thank you"
{'$date': '2023-03-28T00:00:00Z'},208017,{'$date': '2023-01-31T00:00:00Z'}, Efforts are being made to deploy more staff in WC.,{'$date': '2023-03-28T00:00:00Z'},m,UP,"Respected sir, 
 I would like to you pay heed to the your department CGHS KANPUR DISPENSARY.
 Irresponsible regularity duty of contractual Doctor and negligence of patients health and 
medicine issue by them 
 So I am requesting you to take an appropriate action in this matter and deploy the adept fully 
Doctor in the dispensery in CGHS department."
