OfficerDetail,OfficerDetail_torg,comment,date_of_action,delay,remarks
Dr. Pramod Kumar Meherda (Joint Secretary),,,2023-01-17T00:00:00.000+0000,3.0,"As per the information available on the web portal www.pmkisan.gov.in, Farmer land Record is not uploaded on web portal. Under PM-KISAN Scheme the responsibility to identify beneficiary and uploading their correct and verified data including land records after verification lies with the concerned State authorities. The grievance may, therefore, be transferred to concerned State Govt. Of Jharkhand

"
Sunil Kumar (Under Secretary),,,2023-01-17T00:00:00.000+0000,0.0, May please see for further necessary action. 
Public Grievance-4 (Data Entry Operator),,,2023-01-17T00:00:00.000+0000,0.0, 
PRIYANKA SRIVATAWA (ADSS DEOGHAR),,,2023-01-17T00:00:00.000+0000,0.0, Please take necessary action.
KAMAL KUMAR KUJUR (DAO),,,2023-01-18T00:00:00.000+0000,1.0, राज्य से जिला को लॉट प्राप्त नही हुआ है प्राप्त होते ही आपका राशी भेज दिया जायेगा
SUPRIYA BHAGAT (Executive Magistrate),,,2023-05-06T00:00:00.000+0000,108.0, राज्य से जिला को लॉट प्राप्त नही हुआ है प्राप्त होते ही आपका राशी भेज दिया जायेगा
,,,2023-01-14T00:00:00.000+0000,,
,,,2023-01-14T00:00:00.000+0000,0.0,Auto Forwarded
,,,2023-01-27T00:00:00.000+0000,,"Sir,
Any update"
,,,2023-02-14T00:00:00.000+0000,,Any update on your end.
,,,2023-03-01T00:00:00.000+0000,,"This request still pending for last 45 days, please replying at your end."
,,,2023-03-13T00:00:00.000+0000,,"This is still pending at your end for last 56 days, please reply."
,,,2023-04-06T00:00:00.000+0000,,This is still pending very long time.
Shri P. C. Dhasmana (Director),,,2023-05-09T00:00:00.000+0000,115.0, Please provide the final reply to the petitioner directly and upload the same in the CPGRAMS portal.
Ms Rani Sindura (Deputy Director),,,2023-05-09T00:00:00.000+0000,0.0," This is a grievance portal, if you have any specific related to DDA then it may be furnished as per guidelines. Further, you are requested to use/ utilize another mode to get the desired information"
,,,2023-01-14T00:00:00.000+0000,,
,,,2023-01-14T00:00:00.000+0000,0.0,Auto Forwarded
Shri Naveen Kumar Jain (CVO),,,2023-01-16T00:00:00.000+0000,2.0, forwarded for necessary action.
M Mukherjee (DS Vigilance),,,2023-01-17T00:00:00.000+0000,1.0, Pertains to Department of Ex-Servicemen Welfare. May be transferred accordingly for action as appropriate.
Shri Naveen Kumar Jain (CVO),,,2023-03-10T00:00:00.000+0000,52.0, Pertains to Department of Ex-Servicemen Welfare. May be transferred accordingly for action as appropriate.
Shri D. K. Rai (JS MIS),,,2023-03-16T00:00:00.000+0000,6.0, For necessary action please.
Shukla Ghosh (Section Officer),,,2023-03-16T00:00:00.000+0000,0.0, This department deals with the grievances relating to pension and other welfare related issues of Ex-Servicemen/their dependent family members of Army/Navy/Air Force only. The subject matter does not pertain to this department
Shri D. K. Rai (JS MIS),,,2023-03-16T00:00:00.000+0000,0.0, Suggestion noted. No grievance. Hence disposed of.
,,,2023-01-14T00:00:00.000+0000,,
,,,2023-01-14T00:00:00.000+0000,0.0,Auto Forwarded
,,,2023-01-14T00:00:00.000+0000,0.0,Auto Forwarded
SUDHIR N. GANVIR (RPFC I Kandivali East),,,2023-01-20T00:00:00.000+0000,6.0," Sir, the DSC has been rejected as the specimen signature is not signed by the director and you have also not submitted form 5A."
Makhan Lal (Section Officer),,,2023-01-23T00:00:00.000+0000,3.0," Sir, the DSC has been rejected as the specimen signature is not signed by the director and you have also not submitted form 5A.	SUDHIR N. GANVIR (RPFC I Kandivali East)	
"
,,,2023-01-14T00:00:00.000+0000,,
,,,2023-01-16T00:00:00.000+0000,0.0,
AC N (Asstt. C. &amp; A. G. N),,,2023-01-19T00:00:00.000+0000,3.0,Reply has already been given to the complainant. Hence the case may be treated as closed.
,,,2023-01-14T00:00:00.000+0000,,
,,,2023-01-30T00:00:00.000+0000,0.0,
AC N (Asstt. C. &amp; A. G. N),,,2023-01-30T00:00:00.000+0000,0.0,Reply has already been given to the complainant. Hence the case may be treated as closed.
,,,2023-01-14T00:00:00.000+0000,,
,,,2023-01-14T00:00:00.000+0000,0.0,Auto Forwarded
Nodal Officer (GM),,,2023-01-23T00:00:00.000+0000,9.0, The grievance does not fall under the ambit of RBI. hence returned for appropriate action by GOI. It may be taken up with the Union Bank of India.
OSDBO10 (OSD),,,2023-01-23T00:00:00.000+0000,0.0, Please examine the grievance at an appropriate level for redressal. Action Taken on the grievance may be intimated to the petitioner and a copy of the reply sent to him be uploaded on CPGRAMS along with ATR.
RITA DSOUZA (SENIOR MANAGER),,,2023-01-24T00:00:00.000+0000,1.0, Taken Up
GENERAL MANAGER (GENERAL MANAGER),,,2023-02-14T00:00:00.000+0000,21.0,"On receipt of the grievance we have taken up the matter with the concerned UPI Claims department
and have replied that Transaction is successful.
IN VIEW OF THE ABOVE WE REQUEST CLOSURE OF THIS COMPLAINT
"
,,,2023-01-14T00:00:00.000+0000,,
,,,2023-01-14T00:00:00.000+0000,0.0,Auto Forwarded
,,,2023-01-14T00:00:00.000+0000,0.0,Auto Forwarded
DPS Headquarters (DPS Headquarters),,,2023-01-16T00:00:00.000+0000,2.0,As per the SAP tracking record article received on 29/12/2022 	06:59:13 at	TMO B.S. Kot. Please transfer the case. 
Shri Rupesh Pal (ADG PG),,,2023-01-17T00:00:00.000+0000,1.0, Please examine and resolve the grievance by 18.01.2023. 
Shri Shailendra Dashora (CPMG),,,2023-01-17T00:00:00.000+0000,0.0, Kindly examine the case and update the portal.
