name,location
Daksh,New Delhi
Sara Holoubek,New York
Nikhil Pahwa,The Internet
News18,India
Ваня,cælum
edo,Amsterdam Diep Zuid
Gubaar,India
Irama Acosta,Venezuela
ɐlʍɐɥɔ lıɥʞıu,ManchesterDelhi
Dibang,New Delhi
pmo dd3,Internetz
rneelmani,New Delhi
अजय कमर झ,दलल
shilpi tewari,where ever my family is
Jet Airways,India
arunram,Bangalore
Subramanyam BS,Chennai
Rahul Srinivas,Palghar
Rohit Agarwal,India
Raheel Khursheed,On the Road
Saurabh,India
RTI INDIA,India
Hindu Defence League, आरयवरत 
gurgaoncom,Gurgaon
Youth Congress,India
abhinav_kishore,New Delhi
Brand_Basher,New Delhi
Aditya Duggal,New Delhi
Dilip K. Pandey,India
RtG,New Delhi
India Water Portal,India
Lutyens' Leopard,Everywhere
NYPD NEWS,New York City
Livemint,India
Amol Shah,Mumbai
dna,India
Raktim Hazarika,India
Ira Sahai,Delhi
Karan Aggarwal,New Delhi
Sonali Khan,India
Jayant Sinha,Hazaribagh
Twitter Support,Twitter HQ
Zee News,India
Joy,Bombay
Narendra Modi,India
being LOVE,India
Plan India,India
Uber,Global
India Today,India
barkha dutt,India 
udita,New Delhi
_ツ_,MH-02 stuck in NCR
Sunny Leone,Mumbai 
Breakthrough India,India
HISTORY,New York City
Francis Sundar Singh,India
Chandrabhanu,Gurgaon
NewsX,India
Chandan,Ground
Umesh Sant,Pune
Akash Banerjee,New Delhi
Ram N Kumar,New DelhiMumbaiMuzaffarpur
Somil Agrawal,India
Narendra Kumbhat,New Delhi
plánēs astēr,Rest of India  gurgaon
aMAYZing,India
Uday Rana,New Delhi
Hitesh Raj Bhagat,New Delhi
Nitin,INDIA
serendipity,india
Manish Sisodia,Delhi
Jeet Sharma,India
ASHISH ARYA,MY ZONE-MY OWN WORLD...
Anand Kumar Sharma,Bangalore
CyberIndia,India
Kapil Mishra,New Delhi
anilkumarkhater,kolkata
Naresh Kadyan,Siwana - Beri Jhajjar
ramki,Mumbai
Radio City 91.1FM,INDIA
National Rail,Great Britain
Bhanu Ahuja,Delhi
Lahar Appaiah,Bangalore
आभस पडय,भरत
Bloomberg TV India,India
Sun,india
India TV,India
SujatKamal9,India-Noida-delhi region
ModiSarkaar,Psychopath City
Satyendra Arora,People's Republic of China
Appy,Living In a Dream
Bloomberg,New York and the World
Nick arora,winnipegmbcanada
Ashutosh,National Capital
Hindustan Times,India
MP Singh,Ship of Fools
Durgesh Garg,New Delhi
Bharat Surana,Bangalore
NDTV,India
Aaqib Raza Khan,New Delhi
anastasia lyapicheva,around the world
Microsoft India,India
The Indian Express,India
Fortis Healthcare,India
ABP News,India
Kapil Gandhi,New Delhi
Ddevanshu Wadhawan,Delhi
SaveLIFE Foundation,India
itimes,World Wide Web
Arun Kaushik,Mumbai
Roshun Povaiah,New Delhi
Adhvith Dhuddu,Bangalore
Prashant Asthana,new delhi
आज तक,India
Akshay Khanna,New Delhi  India
Pradeepkumar Gayam,India
Business Standard,India
Arvind Agarwal,KolkataKishanganj
RJ Divyaa,new delhi
Aman Sharma,New Delhi. Heart in Chandigarh
Mintoo,Third Rock from the Sun
Anurag Tripathi,Delhi 
Sahil Kinha,Gurgaon Not Delhi
Rohit Sardana,Planet Earth 
samy4u_1,mumbai india
RP SINGH,NEW DELHI
UK in India,India
Retweet Delhi,Next to You.
Bharati Chaturvedi,India
Abhishek Anand,Delhi
That's so Raven,Delhi
Oddinary life,IndiaUKBharat Rakshak
Bibek Debroy,Delhi
Rohit Bhoot,Kolkata
Vaibhav Agarwal,India
Sumit Kumar Singh,New Delhi
Rahul Seth,India
Raj,India
Roopal Sharad,New Delhi
Rishabh Srivastava,India
UNIC New Delhi,New Delhi
Tehseen Poonawalla,Delhi-Pune-Mumbai
Achlendra Katiyar,New Delhiવડદરकनपर
ɹʌᴉupǝɹ,Delhi
Mohit Anand,Gurgaon
Panky,New delhi
Anindya Banerjee,New Delhi
Nitish kumar sinha,india
Kirandeep IBN7,Noida
Prmod  Vsudevn,New Delhi
