Code,Description,OrgCode,Parent,Stage,MonitoringCode
1,Telecommunications,DOTEL,,1,506.0
2,Mobile Related,DOTEL,1.0,2,506.0
3,Pension Related,DOTEL,1.0,2,102.0
4,Broadband Related,DOTEL,1.0,2,506.0
5,Landline Related,DOTEL,1.0,2,506.0
6,Employee Related / Services Related,DOTEL,1.0,2,101.0
7,Tower Related,DOTEL,1.0,2,506.0
8,Malpractices / Corruption / Complaint Related to financial irregularities,DOTEL,1.0,2,301.0
9,Suggestions,DOTEL,1.0,2,2101.0
10,Others,DOTEL,1.0,2,1799.0
11,Call Drop,DOTEL,2.0,3,506.0
12,Improper Network Coverage,DOTEL,2.0,3,506.0
13,Data Speed lower than commited,DOTEL,2.0,3,506.0
14,Mobile Number Portability (MNP),DOTEL,2.0,3,506.0
15,UCC related complaints,DOTEL,2.0,3,506.0
16,Activation/Deactivation of Value Added Services without explicit consent,DOTEL,2.0,3,506.0
17,Activation/Deactivation/Fault of Sim Card,DOTEL,2.0,3,506.0
18,AADHAR Linking/Documents verification,DOTEL,2.0,3,506.0
19,Tariff / Recharge issue / Billing issue of Postpaid,DOTEL,2.0,3,506.0
20,No Network Coverage,DOTEL,2.0,3,506.0
21,Others,DOTEL,2.0,3,506.0
22,Pension not started / Pension stopped,DOTEL,3.0,3,102.0
23,Revision of Pension,DOTEL,3.0,3,102.0
24,Miscalculation in Pension,DOTEL,3.0,3,102.0
25,Adding beneficiary in PPO,DOTEL,3.0,3,102.0
26,Others,DOTEL,3.0,3,102.0
27,Delay in New BB Connection,DOTEL,4.0,3,506.0
28,Landline working but Internet not working/Frequent disconnection,DOTEL,4.0,3,506.0
29,Billing issue,DOTEL,4.0,3,506.0
30,Speed lower than committed,DOTEL,4.0,3,506.0
31,Others,DOTEL,4.0,3,506.0
32,Delay or issue in providing New Telephone Connection/Shifting/Change of Name,DOTEL,5.0,3,506.0
33,New Connection,DOTEL,5.0,3,506.0
34,Delay  in disconnection/closure,DOTEL,5.0,3,506.0
35,Denial of rent rebate during fault,DOTEL,5.0,3,506.0
36,Telephone Faulty/dead,DOTEL,5.0,3,506.0
37,Security Refund,DOTEL,5.0,3,506.0
38,Billing issue,DOTEL,5.0,3,506.0
39,Telephone not working properly,DOTEL,5.0,3,506.0
40,Others,DOTEL,5.0,3,506.0
41,Compensatory ground appointment,DOTEL,6.0,3,101.0
42,Pending any type of Bill/dues for payment,DOTEL,6.0,3,101.0
43,Issues related to Promotion,DOTEL,6.0,3,101.0
44,Transfer/Posting,DOTEL,6.0,3,101.0
45,Pending Disciplinary/Vigilance matters,DOTEL,6.0,3,101.0
46,Sexual harassment,DOTEL,6.0,3,101.0
47,Misbehaviour/Harassment by any officer/staff,DOTEL,6.0,3,101.0
48,Residential Service Telephone Connection,DOTEL,6.0,3,101.0
49,Health Hazard / Radiation Issue,DOTEL,7.0,3,506.0
50,Tower installation related fraud / Cheating,DOTEL,7.0,3,506.0
51,Employee Related Case,DOTEL,8.0,3,301.0
52,Others,DOTEL,8.0,3,301.0
53,Mobile Related,DOTEL,9.0,3,2101.0
54,Landline Related,DOTEL,9.0,3,2101.0
55,Broaband / Internet related,DOTEL,9.0,3,2101.0
56,TRAI Related,DOTEL,9.0,3,2101.0
57,General suggestion related to DoT / Policy,DOTEL,9.0,3,2101.0
58,"Spectrum/License (2G, 3G, 4G)",DOTEL,9.0,3,2101.0
59,Spectrum/License (5G),DOTEL,9.0,3,2101.0
60,Others,DOTEL,9.0,3,2101.0
61,Posts,DPOST,,1,506.0
62,Delay/ Non - Delivery/Abstraction of Postal Articles,DPOST,61.0,2,506.0
63,Pension Related,DPOST,61.0,2,102.0
64,Financial Scheme Related,DPOST,61.0,2,506.0
65,Insurance Related,DPOST,61.0,2,506.0
66,Employees Service Related,DPOST,61.0,2,199.0
67,Allegation of Corruption/ Malpractices/Harassment,DPOST,61.0,2,301.0
68,Atrocities Against,DPOST,61.0,2,299.0
69,Aadhar and Post Office Passport Seva Kendra (POPSK) Related,DPOST,61.0,2,506.0
70,E-commerce portal Related,DPOST,61.0,2,506.0
71,Philately Related,DPOST,61.0,2,506.0
72,ePost Office Related,DPOST,61.0,2,506.0
73,Land Related,DPOST,61.0,2,699.0
74,Others/Misc.,DPOST,61.0,2,1799.0
75,Domestic,DPOST,62.0,3,506.0
76,International,DPOST,62.0,3,506.0
77,Speed post letters,DPOST,75.0,4,506.0
78,Speed post COD,DPOST,75.0,4,506.0
79,Registered letters/Registered letters with acknowledgement,DPOST,75.0,4,506.0
80,Parcels/Registered Parcels,DPOST,75.0,4,506.0
81,Express Parcel/ Business Parcel,DPOST,75.0,4,506.0
