Id,OrgCode,FinalCategory,Destination
1,DOTEL,51,DOTEL
2,DEABD,256,DEABD
3,DEABD,268,DEABD
4,DEABD,271,DEABD
5,DEABD,299,NHBNK
6,DOSEL,566,ISE18
7,DOSEL,567,ISE04
8,DOSEL,568,ISE04
9,DOSEL,569,SOSC4
10,DOSEL,570,SOSC4
11,DOSEL,571,ISE18
12,DOSEL,572,ISE11
13,DOSEL,573,SOSC4
14,DOSEL,574,ISE11
15,DOSEL,575,ISE11
16,DOSEL,576,ISE12
17,DOSEL,577,ISE12
18,DOSEL,578,NMMSO
19,DOSEL,579,NMMSO
21,DOSEL,580,USS04
22,DOSEL,585,ISE02
23,DOSEL,586,ISE06
24,DOSEL,587,ISE07
25,DOSEL,588,ISE08
26,DOSEL,589,ISE03
27,DOSEL,590,ISE09
28,DOSEL,591,ISE13
29,DOSEL,592,ISE14
30,DOSEL,593,ISE15
31,DOSEL,594,ISE16
32,DOSEL,595,ISE17
33,DOSEL,596,ISE01
34,DOSEL,597,ISE10
35,DOSEL,598,NMMSO
36,DOSEL,599,NMMSO
37,DOSEL,600,USS10
38,DOSEL,601,USS10
39,DOSEL,602,IFDUS
40,DOSEL,603,USS10
41,DOSEL,604,USS10
42,DHLTH,720,ALIMS
43,DHLTH,721,ALIMS
44,DHLTH,722,ALIMS
45,DHLTH,723,ALIMS
46,DHLTH,724,ALIMS
47,DHLTH,725,ALIMS
48,DHLTH,726,ALIMS
49,DHLTH,727,ALIMS
50,DHLTH,728,BSRP4
58,DHLTH,729,BSRP4
59,DHLTH,730,BSRP4
60,DHLTH,731,BSRP4
61,DHLTH,732,BSRP4
62,DHLTH,733,BSRP4
63,DHLTH,734,BSRP4
64,DHLTH,735,BSRP4
65,DHLTH,736,JODP4
66,DHLTH,737,JODP4
67,DHLTH,738,JODP4
68,DHLTH,739,JODP4
69,DHLTH,740,JODP4
70,DHLTH,741,JODP4
71,DHLTH,742,JODP4
72,DHLTH,743,JODP4
73,DHLTH,744,PTNP4
74,DHLTH,745,PTNP4
75,DHLTH,746,PTNP4
76,DHLTH,747,PTNP4
77,DHLTH,748,PTNP4
78,DHLTH,749,PTNP4
79,DHLTH,750,PTNP4
80,DHLTH,751,PTNP4
81,DHLTH,752,RPRP4
82,DHLTH,753,RPRP4
83,DHLTH,754,RPRP4
84,DHLTH,755,RPRP4
85,DHLTH,756,RPRP4
86,DHLTH,757,RPRP4
87,DHLTH,758,RPRP4
88,DHLTH,759,RPRP4
89,DHLTH,760,RSKP4
90,DHLTH,761,RSKP4
91,DHLTH,762,RSKP4
92,DHLTH,763,RSKP4
93,DHLTH,764,RSKP4
94,DHLTH,765,RSKP4
95,DHLTH,766,RSKP4
96,DHLTH,767,RSKP4
97,DHLTH,768,DIHAV
98,DHLTH,769,DIHAV
99,DHLTH,770,DIHAV
100,DHLTH,771,DIHAV
101,DHLTH,772,DIHAV
102,DHLTH,773,DIHAV
103,DHLTH,774,DIHAV
104,DHLTH,775,DIHAV
105,DHLTH,776,ALIMS
106,DHLTH,777,ALIMS
107,DHLTH,778,ALIMS
108,DHLTH,779,ALIMS
109,DHLTH,780,BSRP4
110,DHLTH,781,BSRP4
111,DHLTH,782,BSRP4
112,DHLTH,783,BSRP4
113,DHLTH,784,JODP4
114,DHLTH,785,JODP4
115,DHLTH,786,JODP4
116,DHLTH,787,JODP4
117,DHLTH,788,PTNP4
118,DHLTH,789,PTNP4
119,DHLTH,790,PTNP4
120,DHLTH,791,PTNP4
121,DHLTH,792,RPRP4
122,DHLTH,793,RPRP4
123,DHLTH,794,RPRP4
124,DHLTH,795,RPRP4
125,DHLTH,796,RSKP4
126,DHLTH,797,RSKP4
127,DHLTH,798,RSKP4
128,DHLTH,799,RSKP4
129,DHLTH,800,DIHAV
130,DHLTH,801,DIHAV
131,DHLTH,802,DIHAV
132,DHLTH,803,DIHAV
133,DHLTH,804,ALIMS
134,DHLTH,805,ALIMS
135,DHLTH,806,ALIMS
136,DHLTH,807,ALIMS
137,DHLTH,808,BSRP4
138,DHLTH,809,BSRP4
139,DHLTH,810,BSRP4
140,DHLTH,811,BSRP4
141,DHLTH,812,JODP4
142,DHLTH,813,JODP4
143,DHLTH,814,JODP4
144,DHLTH,815,JODP4
145,DHLTH,816,PTNP4
146,DHLTH,817,PTNP4
147,DHLTH,818,PTNP4
