Id,Code,FieldName,DisplayLable,FieldType,FieldOrder,IsMandatory,DataType,MinDataLength,MaxDataLength,IsVisible,IsSearchable,IsActive
1,1,MobileNumber,Mobile Number,Number,1,True,Number,10,10,True,False,True
2,1,ServiceProvider,Service Provider,Dropdown,2,True,AlNum,5,5,True,False,True
3,1,Circle,Circle,Dropdown,3,False,AlNum,5,5,False,False,False
4,2,TrackTraceNo,Track/Trace No.,Textbox,1,True,AlNum,13,18,True,False,True
5,2,Pincode,Post Office of Booking/PINCODE,Dropdown,2,True,Number,6,6,True,True,True
6,2,Division,Division,Textbox,3,True,AlNum,5,5,False,False,False
7,3,PpoNo,PPO No,Textbox,1,True,AlNum,5,50,True,False,True
8,3,Division,Name of Division,Dropdown,2,True,AlNum,5,5,True,True,True
9,4,CifNo,CIF No.,Textbox,1,True,AlNum,5,50,True,False,True
10,4,Pincode,Post Office where A/C or Transaction occurred,Dropdown,2,True,Number,6,6,True,True,True
11,5,PolicyNo,Policy No.,Textbox,1,True,Alnum,5,50,True,False,True
12,5,Pincode,Place where transaction stands,Dropdown,2,True,Number,6,6,True,True,True
13,6,Pincode,Post Office,Dropdown,1,True,Number,6,6,True,True,True
14,7,OrderNo,Order No.,Textbox,1,True,Alnum,5,50,True,False,True
15,8,PpoNo,PPO No.,Textbox,1,True,Alnum,5,50,True,False,True
16,8,CcaOffice,State/Name of CCA office,Dropdown,2,True,Alnum,5,5,True,False,True
17,9,BroadbandId,Broadband ID,Textbox,1,True,Alnum,5,50,True,False,True
18,9,ServiceProvider,Service Provider,Dropdown,2,True,Alnum,5,5,True,False,True
19,10,LandlineNumber,Landline Number,Textbox,1,True,AlNum,6,15,True,False,True
20,10,ServiceProvider,Service Provider,Dropdown,2,True,Alnum,5,5,True,False,True
21,11,OrganisationName,Organisation Name,Dropdown,1,True,AlNum,5,5,True,False,True
22,11,Circle,Circle,Dropdown,2,False,AlNum,5,5,False,False,False
23,12,LsaOffice,State/LSA Office,Dropdown,1,True,AlNum,5,5,True,False,True
24,13,Bank,Bank,Dropdown,1,True,AlNum,5,5,True,False,True
25,13,Branch,Branch / Name of Bank and Branch,Textbox,2,True,AlNum,1,150,True,False,True
26,14,Bank,Bank,Dropdown,1,True,AlNum,5,5,True,False,True
27,14,Branch,Branch / Name of Bank and Branch,Textbox,2,True,AlNum,1,150,True,False,True
28,14,NameAndAcNo,Name & Account Number of the deceased,Textbox,2,True,AlNum,1,150,True,False,True
29,15,Bank,Bank,Dropdown,1,True,AlNum,5,5,True,False,True
30,15,Branch,Branch / Name of Bank and Branch,Textbox,2,True,AlNum,1,150,True,False,True
31,15,AccountNo,Account Number,Textbox,2,True,AlNum,1,150,True,False,True
32,16,Bank,Bank,Dropdown,1,True,AlNum,5,5,True,False,True
33,16,Branch,Branch / Name of Bank and Branch,Textbox,2,True,AlNum,1,150,True,False,True
34,16,DateOfApplication,Date of Application,Textbox,3,True,Date,10,10,True,False,True
35,17,Bank,Bank,Dropdown,1,True,AlNum,5,5,True,False,True
36,17,Branch,Branch / Name of Bank and Branch,Textbox,2,True,AlNum,1,150,True,False,True
37,17,LoanAccountNumber,Loan Account Number,Textbox,3,True,Number,8,150,True,False,True
38,18,Bank,Bank,Dropdown,1,True,AlNum,5,5,True,False,True
39,18,Branch,Branch / Name of Bank and Branch,Textbox,2,True,AlNum,1,150,True,False,True
40,18,DateOfApplication,Date of application,Textbox,3,True,Date,10,10,True,False,True
41,18,LoanAccountNumber,Loan Account Number,Textbox,4,True,Number,8,150,True,False,True
42,19,Bank,Bank,Dropdown,1,True,AlNum,5,5,True,False,True
43,19,Branch,Branch / Name of Bank and Branch,Textbox,2,True,AlNum,1,150,True,False,True
44,19,NameAndAcNo,Name & Account Number of the deceased,Textbox,3,True,Alnum,10,150,True,False,True
45,20,Bank,Bank,Dropdown,1,True,AlNum,5,5,True,False,True
46,20,Branch,Branch / Name of Bank and Branch,Textbox,2,True,AlNum,1,150,True,False,True
47,20,AccountNumber,Account Number,Textbox,4,True,Number,8,150,True,False,True
48,21,Bank,Bank,Dropdown,1,True,AlNum,5,5,True,False,True
49,21,Branch,Branch / Name of Bank and Branch,Textbox,2,True,AlNum,1,150,True,False,True
50,21,AccountNumber,Account Number,Textbox,3,True,Number,8,150,True,False,True
51,21,TransactionDate,Date of Transaction,Textbox,4,True,Date,10,10,True,False,True
52,21,PlaceOfTransaction,Place of Transaction,Textbox,5,True,Alnum,10,150,True,False,True
53,22,Bank,Bank,Dropdown,1,True,AlNum,5,5,True,False,True
54,22,Branch,Branch / Name of Bank and Branch,Textbox,2,True,AlNum,1,150,True,False,True
55,22,PlaceOfAtm,Place of ATM,Textbox,5,True,Alnum,10,150,True,False,True
56,23,Bank,Department/Bank/Financial Institute,Dropdown,1,True,AlNum,5,5,True,False,True
57,24,Bank,Bank/Financial Institute,Dropdown,1,True,AlNum,5,5,True,False,True
58,24,Branch,Branch / Name of Bank and Branch,Textbox,2,True,AlNum,1,150,True,False,True
59,25,Bank,Bank,Dropdown,1,True,AlNum,5,5,True,False,True
60,25,Branch,Branch / Name of Bank and Branch,Textbox,2,True,AlNum,1,150,True,False,True
61,25,LoanType,Type of Loan,Textbox,3,True,AlNum,1,150,True,False,True
62,25,AccountNumber,Acount Number,Textbox,4,True,Number,8,20,True,False,True
63,26,Bank,Department/Bank/Financial Institute,Dropdown,1,True,AlNum,5,5,True,False,True
64,26,Branch,Branch / Name of Bank and Branch,Textbox,2,True,AlNum,1,150,True,False,True
65,26,AccountNumber,Acount Number,Textbox,4,True,Number,8,20,True,False,True
66,27,Bank,Department/Bank/Financial Institute,Dropdown,1,True,AlNum,5,5,True,False,True
67,27,Branch,Branch / Name of Bank and Branch,Textbox,2,True,AlNum,1,150,True,False,True
68,28,InsuranceCompany,Insurance Company,Dropdown,1,True,AlNum,5,5,True,False,True
